file,selected_songs,scores,action,tokens_out,notes
..\content\activities\action-songs-for-kids-for-sunday-school\index.md,Do What It Says,0.201,dry_run,0,Would rewrite with 1 songs
..\content\activities\action-songs-for-kids-sunday-school\index.md,Do What It Says,0.202,dry_run,0,Would rewrite with 1 songs
